ID;Категория;Артикул;Имя товара;Цена;Количество;Производитель;Опция:Цвет;GroupID;GroupID;ManufID
207;Мобильные телефоны;451522;Мобильный телефон Sony Xperia Z3;9 300,5;9;Sony;черный;4;;5
208;Мобильные телефоны;451522;Мобильный телефон Sony Xperia Z3;9 300,5;3;Sony;медный;13;;5
209;Мобильные телефоны;451522;Мобильный телефон Sony Xperia Z3;9 300,5;9;Sony;белый;5;;5
210;Мобильные телефоны;1204685;Мобильный телефон Apple iPhone 8 Plus 64GB;54868,0;12;Apple;;0;;2
211;Мобильные телефоны;1204685;Мобильный телефон Apple iPhone 8 Plus 64GB;57 090,0;7;Apple;золотистый;1;;2
212;Мобильные телефоны;1204685;Мобильный телефон Apple iPhone 8 Plus 64GB;55 077,0;12;Apple;серебристый;3;;2
213;Мобильные телефоны;1204685;Мобильный телефон Apple iPhone 8 Plus 64GB;54 868,0;10;Apple;черный;4;;2
214;Мобильные телефоны;644387;Мобильный телефон Apple iPhone 6S Plus 64GB;23710,5;3;Apple;;0;;2
215;Мобильные телефоны;644387;Мобильный телефон Apple iPhone 6S Plus 64GB;23 710,5;9;Apple;золотистый;1;;2
216;Мобильные телефоны;644387;Мобильный телефон Apple iPhone 6S Plus 64GB;23 710,5;4;Apple;розовый;2;;2
217;Мобильные телефоны;644387;Мобильный телефон Apple iPhone 6S Plus 64GB;23 710,5;12;Apple;серебристый;3;;2
218;Мобильные телефоны;644387;Мобильный телефон Apple iPhone 6S Plus 64GB;23 710,5;8;Apple;серый;9;;2
219;Мобильные телефоны;1203005;Мобильный телефон Xiaomi Mi Note 3 64GB;19525,0;6;Xiaomi;;0;;1
220;Мобильные телефоны;1203005;Мобильный телефон Xiaomi Mi Note 3 64GB;19 525,0;6;Xiaomi;черный;4;;1
